"Nom* (s.nom)","Ã‰tat (s.status)","Client* (s.client)","Fournisseur* (s.fournisseur)","Code client (s.code_client)","Code fournisseur (s.code_fournisseur)","CustomerAccountancyCode (s.code_compta)","SupplierAccountancyCode (s.code_compta_fournisseur)","Adresse (s.address)","Code postal (s.zip)","Ville (s.town)","StateId (s.fk_departement)","Code pays (s.fk_pays)","TÃ©lÃ©phone (s.phone)","Fax (s.fax)","Url (s.url)","Email (s.email)","Identifiant professionnel 1 (s.siren)","Identifiant professionnel 2 (s.siret)","Identifiant professionnel 3 (s.ape)","Identifiant professionnel 4 (s.idprof4)","Identifiant professionnel 5 (s.idprof5)","Identifiant professionnel 6 (s.idprof6)","Num. TVA (s.tva_intra)","Capital (s.capital)","Note (privÃ©e) (s.note_private)","Note (publique) (s.note_public)","Type du tiers (s.fk_typent)","Effectif (s.fk_effectif)","Forme juridique (s.fk_forme_juridique)","Potentiel du prospect (s.fk_prospectlevel)","Statut prospect (s.fk_stcomm)","DefaultLanguage (s.default_lang)","BarCode (s.barcode)","Date crÃ©ation (s.datec)"
"EARL DE LA COURTE CROIX",1,2,0,"auto",,,,"203 RUE DE LA COURTE CROIX ",59270,"FLETRE","59","FR",,,,,,,,,,,,,,"Courrier envoyé le 9/04/2017 dans campahgne d'emailing groupemtn d'achat",,,,,,,,
"SCEA DU ZANDBERG",1,2,0,"auto",,,,"2515 ROUTE DE GODEWAERSVELDE",59270,"FLETRE","59","FR",,,,,,,,,,,,,,"Courrier envoyé le 9/04/2017 dans campahgne d'emailing groupemtn d'achat",,,,,,,,
"MONSIEUR XAVIER DEBAVELAERE",1,2,0,"auto",,,,"1 RUE DU CYGNE",59285,"ARNEKE","59","FR",,,,,,,,,,,,,,"Courrier envoyé le 9/04/2017 dans campahgne d'emailing groupemtn d'achat",,,,,,,,
"EARL VIDRIL",1,2,0,"auto",,,,"53 ROUTE DE CASSEL",59285,"ARNEKE","59","FR",,,,,,,,,,,,,,"Courrier envoyé le 9/04/2017 dans campahgne d'emailing groupemtn d'achat",,,,,,,,
"SARL DEQUIDT",1,2,0,"auto",,,,"56 RUE DE BOURBOURG",59285,"ARNEKE","59","FR",,,,,,,,,,,,,,"Courrier envoyé le 9/04/2017 dans campahgne d'emailing groupemtn d'achat",,,,,,,,
"CAZEEL",1,2,0,"auto",,,,"103 RUE DE LA SEYNE",59285,"ARNEKE","59","FR",,,,,,,,,,,,,,"Courrier envoyé le 9/04/2017 dans campahgne d'emailing groupemtn d'achat",,,,,,,,
"EARL DU GRAND BOIS",1,2,0,"auto",,,,"484 RUE DU GRAND BOIS",59940,"LE DOULIEU","62","FR",,,,,,,,,,,,,,"Courrier envoyé le 9/04/2017 dans campahgne d'emailing groupemtn d'achat",,,,,,,,
"GAEC RECONNU DU BOIS CHIVET",1,2,0,"auto",,,,"2 CHEMIN DE LA HAUTE LIANE",62142,"ALINCTHUN","62","FR",,,,,,,,,,,,,,"Courrier envoyé le 9/04/2017 dans campahgne d'emailing groupemtn d'achat",,,,,,,,
"EARL DU GAL",1,2,0,"auto",,,,"848 CHAUSSEE BRUNEHAUT",62150,"GAUCHIN LEGAL","62","FR",,,,,,,,,,,,,,"Courrier envoyé le 9/04/2017 dans campahgne d'emailing groupemtn d'achat",,,,,,,,
"GAEC DU BOIS",1,2,0,"auto",,,,"273 CHAUSSEE BRUNEHAU",62150,"GAUCHIN LEGAL","62","FR",,,,,,,,,,,,,,"Courrier envoyé le 9/04/2017 dans campahgne d'emailing groupemtn d'achat",,,,,,,,
